통계청행정동코드,행자부행정동코드,시군구명,행정동명,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,2021혼인,어린이보호구역현황,2021_한부모_가구수,2021_저소득_가구수,2021_예산현액,2021_세입,2021_세출,총_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,어린이집_수,2020GDP1인당,공동육아나눔터유무,유아인구,인구대비아동,20-40직장인구,20-40직장인구비,인구대비예산,20-40생활인구,한부모저소득평균
1101067,11110670,종로구,창신1동,8542.106721,74.78077485,51.95310217,298.8362188,400.5866738,347.2239546,388.2546962,66.12768014,32.46263248,309.1078998,286.2376282,340.3266537,314.6246808,20.0,0.0,96,214,662770,695108,540729,464.1891892,71.01351351,116.1486486,123.1486486,2,223603,1,225.32418964,0.026378058364227734,310.31081071,0.6685007275692926,77.58858811382439,2685.1984059000006,155.0
1101068,11110680,종로구,창신2동,9581.10499,151.6812802,102.7518665,251.7026952,325.774118,259.354967,388.98693,127.1359987,94.96904203,311.5719765,286.9303983,334.1441217,223.2930549,21.0,0.0,96,214,662770,695108,540729,102.1764706,8.558823529,24.30147059,21.60294118,2,223603,0,476.53818743,0.04973728895856719,54.463235299000004,0.5330310880693113,69.17469338784483,2381.7582616,155.0
1101069,11110690,종로구,창신3동,4927.821309,143.2344607,74.70672423,138.1994324,201.3346783,182.8472519,206.6003549,197.6376188,128.5523186,169.9840777,158.1683053,195.0997127,205.9551569,30.0,0.0,96,214,662770,695108,540729,548.537174,76.8549625,157.6874642,146.4563211,3,223603,0,544.13112233,0.11042022188106092,380.9987478,0.6945723386834671,134.49554243972688,1458.1889701,155.0
1101070,11110700,종로구,숭인1동,7855.433461,212.961894,100.9298088,258.4826255,345.7565746,265.7155165,379.7099133,170.6603384,87.14585387,315.2621396,288.3226684,311.7610615,303.5820866,18.0,0.0,96,214,662770,695108,540729,174.6451613,27.77419355,39.12903226,48.90322581,2,223603,0,571.69789507,0.07277738369350564,115.80645162000002,0.6630956778760753,84.37090114638042,2468.5925859999998,155.0
1101071,11110710,종로구,숭인2동,12959.74457,168.0768544,84.03842858,525.9583699,546.6840834,500.0114372,582.4366643,161.190995,67.01185932,713.1297188,525.3814894,516.614781,417.334922,38.0,0.0,96,214,662770,695108,540729,394.225,61.25625,87.33125,97.6375,2,223603,0,480.3181373,0.03706231513326809,246.22500000000002,0.6245798719005644,51.14066843062787,4327.551466,155.0
1101072,11110515,종로구,청운효자동,18222.83161,667.6307306,425.4159195,621.2056491,666.9609169,690.2573515,805.8847178,644.3537302,386.0786785,709.164549,652.411072,773.640793,758.9075844,31.0,7.0,96,214,662770,695108,540729,253.1395349,40.0,63.48837209,68.20930233,3,223603,0,2123.4790588,0.11652849042597282,171.69767442,0.6782728525112732,36.370308093957085,5678.4326337,155.0
1101073,11110650,종로구,혜화동,30298.19989,571.1775766,434.2498983,969.3876398,785.3216373,779.7264658,1016.57902,629.5959353,410.8507734,1740.669971,946.4140298,945.3482899,912.7729475,46.0,5.0,96,214,662770,695108,540729,1030.070968,212.3612903,323.4064516,261.0387097,4,223603,0,2045.8741836,0.06752461172702362,796.8064516000001,0.7735451986838251,21.87489693797779,8096.2200011,155.0
1102052,11140520,중구,소공동,26848.74901,602.3275007,87.61127363,1539.399383,1977.869432,1790.507958,2058.466149,406.549119,198.6548406,1607.989549,1592.989494,1545.191958,1312.173245,11.0,4.0,72,263,653442,647475,536751,52168.4,11179.50323,17860.14839,14011.36129,1,443361,0,1295.14273393,0.048238475969499185,43051.01291,0.8252316135821685,24.33789372296717,13424.587167999998,167.5
1102054,11140540,중구,회현동,24382.1036,166.1860076,69.59912562,1203.514136,1614.048466,1472.086714,1617.063594,216.8159214,77.05038052,1278.676989,1274.109414,1392.382763,1106.076786,15.0,2.0,72,263,653442,647475,536751,3306.107527,654.2580645,1140.419355,811.1935484,2,443361,0,529.65143514,0.02172295893041813,2605.8709679000003,0.7881990971614277,26.80006658654342,10957.958862,167.5
1102055,11140550,중구,명동,33388.19581,289.4901171,88.4552382,2029.582674,2565.675319,2364.532913,2359.67225,282.7859949,108.7638442,2279.834953,2113.125514,1978.984796,1533.137919,6.0,2.0,72,263,653442,647475,536751,13500.88387,2445.232258,4671.025806,3798.070968,9,443361,0,769.4951944,0.023046923492928924,10914.329032,0.8084158886998856,19.571048514226383,17224.546338,167.5
1102057,11140570,중구,필동,12068.07197,186.5651515,62.18838469,515.1969006,590.9808621,602.7416917,685.8839495,114.2175877,53.87622202,582.0456267,525.9281596,453.4360133,337.9464206,17.0,3.0,72,263,653442,647475,536751,9740.564516,1638.870968,2754.274194,2938.645161,2,443361,0,416.84734591,0.03454133741878902,7331.790322999999,0.7527069207289463,54.146345963496934,4294.159624100001,167.5
1102058,11140580,중구,장충동,11343.88645,98.76352829,56.91470866,503.0256385,646.5747501,526.2339069,557.7307087,106.6286082,62.03846286,652.8187012,560.3049721,582.3240498,452.3717302,21.0,3.0,72,263,653442,647475,536751,1717.103226,409.6258065,471.9741935,429.2903226,2,443361,0,324.34530800999994,0.028592079922485466,1310.8903226,0.7634312851730675,57.60300959288957,4481.384457499999,167.5
1102059,11140590,중구,광희동,21672.30343,203.1447615,98.14847467,1075.157812,1297.517495,1100.172759,1242.562212,162.8999285,90.07411036,1341.876902,1201.292225,1115.766244,881.1845868,35.0,0.0,72,263,653442,647475,536751,3403.269461,690.1916168,994.2874251,823.245509,2,443361,0,554.26727503,0.025574913013757115,2507.7245509,0.7368574776806367,30.151017500773335,9255.5302358,167.5
1102060,11140605,중구,을지로동,17291.48117,88.56232132,36.08087863,854.2652484,1038.957124,1004.812595,1225.047461,83.83476086,36.44989673,918.6802651,794.9464557,676.1552798,641.1240359,12.0,0.0,72,263,653442,647475,536751,5354.927419,772.233871,1487.024194,1448.766129,6,443361,0,244.92785754000002,0.014164654556310633,3708.024194,0.6924508782030235,37.789822258471105,7153.9884649000005,167.5
1102065,11140650,중구,신당5동,10275.31758,269.6376161,124.7184798,369.4067598,464.1417061,384.807679,444.9033371,268.2437006,105.2092852,461.7922731,443.5575767,461.6005708,404.5934234,45.0,3.0,72,263,653442,647475,536751,547.8817204,80.94623656,134.7204301,138.2043011,4,443361,0,767.8090817,0.07472363513070122,353.87096776,0.6458893490763742,63.593362921635354,3434.8033259999997,167.5
1102067,11140670,중구,황학동,13366.88281,382.5597113,100.9264569,618.1260162,761.5314895,623.3723351,502.1955711,468.0361908,120.8908467,714.9781107,702.392632,828.4976791,563.9860357,80.0,1.0,72,263,653442,647475,536751,573.7526882,104.6451613,141.516129,126.4193548,3,443361,0,1072.4132057000002,0.0802291170606889,372.5806451,0.6493749881484217,48.88514467345735,5315.0798694,167.5
1102068,11140680,중구,중림동,9369.770522,254.1874348,86.72911673,395.8570314,584.4443698,509.5030065,542.968603,217.14099,84.30171681,410.8699701,500.9891719,525.5416053,452.9847987,70.0,2.0,72,263,653442,647475,536751,1632.709677,264.3870968,540.7741935,406.2258065,4,443361,0,642.35925834,0.06855656249336689,1211.3870968,0.741948868108534,69.73938139314443,3923.1585566999997,167.5
1102069,11140615,중구,신당동,22978.18077,159.0899182,115.9260211,1228.337259,1461.509254,1147.924824,1113.12267,266.2052266,114.6946902,1125.168592,1157.24868,1347.543218,1128.031927,51.0,2.0,72,263,653442,647475,536751,734.5505051,176.9090909,220.3686869,169.9646465,2,443361,1,655.9158560999999,0.028545160413932975,567.2424242999999,0.7722306640069315,28.437499319055103,9708.886424,167.5
1102070,11140625,중구,다산동,14731.10664,378.7434011,209.2285367,558.1077829,718.4020175,598.9633642,611.721933,445.4439242,214.0888347,711.5520924,649.4951535,716.7472821,562.5373497,63.0,4.0,72,263,653442,647475,536751,1355.838095,440.9238095,454.9238095,262.047619,3,443361,0,1247.5046967,0.08468506319223822,1157.895238,0.8540070103281764,44.357970922950294,5127.5269753,167.5
1102071,11140635,중구,약수동,14912.91462,601.5434176,217.6524212,445.0662231,644.9317514,637.3402956,591.3940392,466.9602769,178.9901638,505.4210776,588.1286046,820.4013337,581.7878802,65.0,6.0,72,263,653442,647475,536751,718.6181818,118.6727273,173.7818182,173.4181818,5,443361,0,1465.1462795000002,0.09824680934839285,465.8727273,0.648289646851237,43.817189104245,4814.471205399999,167.5
1102072,11140645,중구,청구동,12300.21883,558.6684588,266.1377855,405.6898134,539.3575032,425.2974118,483.8029119,417.7684235,212.0554983,451.0481435,542.128799,584.933039,470.0370982,76.0,4.0,72,263,653442,647475,536751,1129.129032,197.8064516,268.0967742,238.3548387,2,443361,0,1454.6301661,0.11826051115059714,704.2580645,0.6237179671596648,53.124420714066275,3902.29472,167.5
1102073,11140665,중구,동화동,9208.099528,307.8495019,150.442019,306.9706177,362.6581794,358.8686757,397.4204906,207.5378032,121.572598,333.158509,339.0423746,450.4329933,343.7637855,23.0,2.0,72,263,653442,647475,536751,626.2741935,153.9677419,170.1935484,142.1935484,4,443361,0,787.4019221,0.08551188219737062,466.3548387,0.7446496175959708,70.96382896525094,2892.3156258,167.5
1103051,11170510,용산구,후암동,13731.86958,450.9191772,249.2106022,570.0230694,670.7510572,594.0760126,571.6191672,334.3149622,176.6842981,581.8161308,613.130386,731.3108785,577.2457344,71.0,3.0,85,472,682054,716138,589624,192.5053763,34.40860215,43.89247312,50.90322581,8,57688,0,1211.1290397,0.08819840828258144,129.20430108,0.6711724293800931,49.66942017810804,4909.972436099999,278.5
1103052,11170520,용산구,용산2가동,12505.04863,272.6509259,146.5967603,649.9384123,739.149992,564.2255953,494.7936523,268.9298982,152.0039235,667.4926315,677.8906605,658.4347196,533.7068221,60.0,1.0,85,472,682054,716138,589624,1628.108108,287.2162162,513.9864865,468.4594595,2,57688,0,840.1815079,0.06718738429248317,1269.6621621999998,0.7798389774986612,54.54229089231459,4985.6324856,278.5
1103053,11170530,용산구,남영동,15788.3362,218.1676382,105.2698924,831.0120686,905.5638436,801.8032231,925.5847642,170.5614,77.65391959,906.1173822,786.9748689,680.0246562,546.3704414,26.0,0.0,85,472,682054,716138,589624,5804.247619,2188.133333,1544.857143,1108.209524,4,57688,0,571.65285019,0.03620728890926455,4841.2,0.8340788191310967,43.199865480442455,6383.4512482,278.5
1103057,11170570,용산구,원효로2동,15122.98702,602.0601552,269.2059046,545.2966705,728.2732915,676.9381666,690.4488784,358.9695221,287.2974252,570.5107994,594.6657694,713.1167885,530.156443,65.0,0.0,85,472,682054,716138,589624,1511.021505,201.2258065,500.8709677,402.4623656,9,57688,0,1517.5330070999998,0.10034611582308954,1104.5591398000001,0.7310016013306179,45.10048174332163,5049.4068073,278.5
1103058,11170580,용산구,효창동,10054.39456,286.632965,169.2577739,389.3309553,424.724148,390.9946551,384.821983,391.2562843,184.5983893,446.0805425,477.7434414,507.4390492,375.3903518,50.0,1.0,85,472,682054,716138,589624,918.483871,109.3548387,256.0967742,231.9354839,10,57688,0,1031.7454125,0.1026163640528545,597.3870968000001,0.6504056474607381,67.83640684974272,3396.5251263000005,278.5
1103059,11170590,용산구,용문동,8543.585441,293.8274264,132.7325694,306.5894168,394.2868133,332.8890164,339.7891751,263.3523773,116.0260191,341.2827673,393.8798722,466.7138882,293.9144224,50.0,1.0,85,472,682054,716138,589624,247.0860215,26.96774194,63.96774194,68.33333333,8,57688,0,805.9383922,0.09433257240366141,159.26881721,0.6445885373972886,79.83229110425656,2869.3453716999998,278.5
1103063,11170630,용산구,이촌1동,26795.44785,1250.031905,671.3743518,600.1561007,994.8510434,1152.475828,1257.680518,1093.155023,564.6607695,716.4058792,803.0336963,1390.969019,1315.984413,79.0,0.0,85,472,682054,716138,589624,111.9166667,13.25,20.25,25.58333333,9,57688,0,3579.2220493000004,0.13357575022953014,59.08333333,0.5279225612426143,25.454099659692755,8231.556497599999,278.5
1103064,11170640,용산구,이촌2동,7049.33235,331.9042215,116.0755867,253.2248092,368.5824184,317.6233769,322.9075988,172.4925298,78.40569586,198.7095141,270.7974868,359.4019319,248.8474867,35.0,0.0,85,472,682054,716138,589624,279.1935484,32.41935484,53.06451613,78.06451613,6,57688,0,698.8780338600001,0.09914102487450462,163.5483871,0.5857885615096112,96.75441107553966,2340.0946228,278.5
1103065,11170650,용산구,이태원1동,12482.91093,136.0121739,72.8323233,776.5120856,760.9241774,586.6545897,516.3730916,187.5612127,83.36053986,905.1387611,641.1504616,618.4124582,475.3678976,33.0,0.0,85,472,682054,716138,589624,1478.843434,328.6515152,441.3787879,317.1464646,5,57688,0,479.76624976,0.03843384387266472,1087.1767677,0.7351533926477846,54.63901840081463,5280.533522799999,278.5
1103066,11170660,용산구,이태원2동,11124.19446,195.1954208,88.51878284,531.0705518,804.1254875,597.2461426,533.5838523,203.9915864,100.4958932,643.2049715,663.6994975,745.5810898,560.2872565,35.0,0.0,85,472,682054,716138,589624,88.31428571,20.86666667,30.59047619,19.28571429,4,57688,0,588.20168324,0.052875890057031597,70.74285715,0.8010352637884683,61.31266425200553,5078.7988495,278.5
1103069,11170690,용산구,서빙고동,15595.76308,399.1367032,287.8237494,502.0395982,660.905196,645.2364179,795.3074086,518.8488861,331.4862392,493.9004113,548.6865224,734.7833652,713.0509398,31.0,3.0,85,472,682054,716138,589624,338.0967742,36.91935484,93.83870968,96.85483871,5,57688,0,1537.2955779,0.09857136005556708,227.61290323,0.673218204369369,43.73328810532303,5093.909859400001,278.5
1103070,11170700,용산구,보광동,11012.67171,253.5392431,172.2015579,509.0482029,602.4001095,518.8933231,563.1669702,140.6815022,89.77702669,470.1768516,500.3643128,527.2183267,484.2327884,54.0,2.0,85,472,682054,716138,589624,176.0,22.5047619,40.13333333,42.02857143,5,57688,0,656.19932989,0.059585843214970395,104.66666666,0.5946969696590909,61.933563258828855,4175.5008852,278.5
1103071,11170555,용산구,청파동,22620.42524,431.7700942,310.874221,1018.10212,964.397107,805.2469594,860.9238073,484.2512076,262.4810095,1437.843183,1093.879684,995.6612944,768.0365816,79.0,3.0,85,472,682054,716138,589624,534.8823529,72.25735294,142.2132353,139.2426471,9,57688,0,1489.3765323,0.06584211023877286,353.71323534,0.6612916530565164,30.152129889844634,7944.0907367,278.5
1103072,11170560,용산구,원효로1동,21388.95498,696.1037941,222.4236722,1109.584283,1371.343045,1050.046485,1048.37849,767.0741352,227.1493122,1114.642912,1305.560125,1338.470623,920.9660862,98.0,0.0,85,472,682054,716138,589624,1156.666667,191.9238095,420.8095238,311.6095238,7,57688,0,1912.7509137,0.08942703911848619,924.3428571,0.7991436802596128,31.888140427513306,9258.9920492,278.5
1103073,11170625,용산구,한강로동,47020.34914,1046.959273,441.7549691,2628.136303,3239.765805,2581.313856,2618.038675,925.7267533,344.5526241,2803.767598,2763.002188,2755.146154,1813.201382,126.0,2.0,85,472,682054,716138,589624,2574.927419,614.9798387,810.6370968,628.9556452,8,57688,0,2758.9936195,0.05867658726406471,2054.5725807,0.7979147550100323,14.505506923592359,21202.371960999997,278.5
1103074,11170685,용산구,한남동,32010.63288,720.3908579,309.2297292,1594.089381,2089.654232,1664.381585,1624.5706,721.9012861,322.9232071,1820.873767,1953.216069,2223.898982,1476.186995,103.0,4.0,85,472,682054,716138,589624,1023.374194,225.4451613,378.8774194,238.3935484,8,57688,0,2074.4450803,0.064804875557337,842.7161291,0.8234682231004156,21.30710762754529,14446.871611,278.5
1104052,11200520,성동구,왕십리2동,14939.8793,468.5482602,228.127242,532.0426972,708.4100047,530.9196942,557.8697463,463.5415175,227.6916649,682.3975924,685.8759628,833.7400078,624.4174999,73.0,0.0,100,540,877761,890178,756014,110.1075269,13.75268817,27.68817204,28.82795699,6,38886,0,1387.9086846,0.09289959153819938,70.2688172,0.6381835936049891,58.75288430208402,5155.6732053,320.0
1104054,11200540,성동구,마장동,21875.95187,654.8550485,356.4302553,830.1491735,896.8180381,849.1795532,967.0908435,537.559839,298.8884442,871.7568071,862.8988923,876.4548599,667.9527585,96.0,6.0,100,540,877761,890178,756014,980.3677419,100.3354839,221.5096774,242.3032258,12,38886,0,1847.7335869999997,0.08446414574233563,564.1483871,0.5754456853166682,40.12447116432607,6822.300926099999,320.0
1104055,11200550,성동구,사근동,24187.05896,341.0399178,155.47397,915.5264443,763.0894683,611.6195761,689.722711,512.0192814,244.8786831,1593.331621,785.0536898,739.0862826,551.4790326,43.0,3.0,100,540,877761,890178,756014,124.5591398,19.52688172,29.72043011,35.13978495,4,38886,0,1253.4118523,0.051821589982182774,84.38709678000001,0.6774861878100414,36.29052219418743,6648.9088257,320.0
1104056,11200560,성동구,행당1동,18647.45087,477.9946672,274.7348415,710.8686462,872.0988467,741.1793996,725.6927978,517.9153349,297.861339,891.9410473,786.6970963,894.7776818,746.2337487,51.0,0.0,100,540,877761,890178,756014,2834.095238,373.9047619,736.5904762,892.9333333,8,38886,0,1568.5061826,0.0841137050599989,2003.4285714,0.7069023456014148,47.07136681143592,6369.489264400001,320.0
1104057,11200570,성동구,행당2동,20785.82424,896.9151045,453.6220412,568.269356,927.6787164,836.954395,883.0543388,876.8616414,488.1188848,589.6147503,771.9546933,1139.914632,968.9323087,123.0,0.0,100,540,877761,890178,756014,965.4840349,153.0185531,267.9993268,247.7180509,15,38886,0,2715.5176719,0.13064277079156134,668.7359308,0.692643178578571,42.22882816024427,6686.3731905,320.0
1104058,11200580,성동구,응봉동,10794.04022,517.4919681,317.4135214,281.3712795,472.2711956,436.1864244,461.92121,472.3465356,292.5543374,254.1352229,408.6226782,564.3118286,496.5407638,44.0,3.0,100,540,877761,890178,756014,548.537174,76.8549625,157.6874642,146.4563211,6,38886,0,1599.8063625,0.1482120068012865,380.9987478,0.6945723386834671,81.31904107357495,3375.360603,320.0
1104059,11200590,성동구,금호1가동,15508.3549,583.9721347,322.3142208,388.7874251,791.0984342,684.4422242,651.6971431,698.9094376,320.2745092,425.5351606,629.12549,1007.262692,826.9068382,64.0,0.0,100,540,877761,890178,756014,741.477483,133.0144371,179.3403143,177.7909515,10,38886,1,1925.4703023,0.12415696666188623,490.1457029,0.6610392279437567,56.59923348800845,5404.8554074,320.0
1104062,11200620,성동구,금호4가동,12901.09834,603.8317289,197.6781835,420.6244964,678.8618012,585.4573725,565.3221009,572.141797,186.6560308,354.7687244,564.2523885,782.1934576,588.1123479,58.0,4.0,100,540,877761,890178,756014,741.477483,133.0144371,179.3403143,177.7909515,4,38886,0,1560.3077402000001,0.12094379091447187,490.1457029,0.6610392279437567,68.0376954633771,4539.5926893999995,320.0
1104065,11200650,성동구,성수1가1동,19578.1331,532.5749595,256.3327887,951.9203653,1044.844278,974.4716771,867.8763612,459.87431,235.9769811,1058.201343,1040.246073,1069.447944,719.3262921,83.0,0.0,100,540,877761,890178,756014,478.4677419,58.69354839,106.4677419,134.8064516,4,38886,0,1484.7590393,0.07583762107021329,299.96774188999996,0.6269340973726362,44.83374362185739,7726.334333700001,320.0
1104066,11200660,성동구,성수1가2동,20576.75244,531.5890261,239.7731329,1112.600022,1188.779505,1040.346312,982.5150533,559.1853375,251.7367425,1335.866286,1187.801988,1028.41369,799.606204,46.0,0.0,100,540,877761,890178,756014,1258.877419,173.2580645,304.5290323,308.2580645,10,38886,0,1582.2842389999998,0.07689669415102317,786.0451613,0.6244016688490621,42.65789767163083,8675.929060299999,320.0
1104067,11200670,성동구,성수2가1동,20026.64339,553.338628,246.812416,1041.835731,1086.586019,907.1463202,988.1415103,484.0272034,249.035151,917.5660638,870.7663612,926.0493949,670.7499975,78.0,0.0,100,540,877761,890178,756014,507.7432432,94.18918919,152.6216216,121.4864865,7,38886,0,1533.2133984,0.07655868078050397,368.29729729,0.7253612967232097,43.82966146180526,7408.8413979,320.0
1104068,11200690,성동구,성수2가3동,33249.39324,632.7788107,210.3513131,2083.573755,2160.571996,1783.230587,1817.263548,544.4796735,192.926024,2376.902295,1844.80631,1674.104439,1225.892306,48.0,0.0,100,540,877761,890178,756014,2577.397849,392.4086022,676.2473118,690.7150538,6,38886,0,1580.5358213000002,0.04753577937171404,1759.3709678,0.6826152076143833,26.3993088133719,14966.345236000001,320.0
1104069,11200720,성동구,송정동,10869.06105,182.7063493,92.39119104,526.9641008,591.1301633,500.5849041,549.1398959,219.6299524,90.83838196,629.9113366,449.5177936,505.4613026,375.7598631,48.0,1.0,100,540,877761,890178,756014,489.0806452,68.12903226,146.8064516,133.2096774,6,38886,0,585.5658747,0.053874559357636506,348.14516126,0.7118359000234672,80.75775781938404,4128.46936,320.0
1104070,11200790,성동구,용답동,20081.8429,382.3406003,236.8387249,826.0648726,883.0522663,836.5284835,969.2119931,307.2361292,202.624932,995.3836045,830.9101589,887.0042532,673.4808205,48.0,3.0,100,540,877761,890178,756014,1136.927419,183.7258065,264.6451613,293.5564516,7,38886,0,1129.0403864,0.056221950944552006,741.9274194,0.6525723691777724,43.70918567438848,6901.6364526,320.0
1104071,11200535,성동구,왕십리도선동,30351.03127,1429.097075,413.5980507,1123.425024,1366.44084,1240.028074,1183.438275,1264.140837,366.7759059,1532.533343,1430.169961,1657.926126,1348.193851,110.0,0.0,100,540,877761,890178,756014,1544.397849,278.5268817,329.8494624,383.1827957,18,38886,0,3473.6118686,0.11444790253415334,991.5591397999999,0.6420360792667744,28.920302318280996,10882.155494,320.0
1104072,11200615,성동구,금호2.3가동,20307.14621,1077.853361,349.0661205,561.1935473,954.7959714,819.5649204,825.059797,909.5634121,346.3697136,570.8599917,780.611438,1108.837462,896.8498286,121.0,0.0,100,540,877761,890178,756014,116.7870968,15.99354839,26.12903226,27.81935484,10,38886,0,2682.8526072000004,0.13211371895667268,69.94193549,0.5988841011244318,43.22424189607487,6517.772956400001,320.0
1104073,11200645,성동구,옥수동,27689.23762,1712.180823,474.5157123,888.6350382,1364.804877,1269.609482,1177.844715,1368.904769,435.122719,835.4469927,1207.737904,1691.600835,1418.73192,138.0,5.0,100,540,877761,890178,756014,582.972973,155.3108108,177.5810811,133.2432432,11,38886,0,3990.7240233,0.144125456903786,466.1351351,0.7995827537274185,31.700439428711146,9854.4117639,320.0
1105053,11215710,광진구,화양동,39596.67728,524.3971287,242.02907,1917.95199,1483.449117,1071.59508,1144.095996,447.2758646,207.7135705,3709.496109,1909.414624,1370.40735,938.7642771,94.0,3.0,170,941,873075,886951,731866,448.720524,112.8078603,140.3100437,88.77292576,5,18062,0,1421.4156338,0.035897346228036836,341.89082976000003,0.7619237620608591,22.049198568511805,13545.1745431,555.5
1105054,11215730,광진구,군자동,19346.61211,395.1221881,165.3708346,1019.039109,956.0562719,686.4970345,670.674345,309.5228533,151.6495745,1344.436122,948.0069987,868.9107513,624.6666535,93.0,7.0,170,941,873075,886951,731866,242.9677419,36.41935484,63.77419355,70.16129032,9,18062,0,1021.6654504999999,0.05280849405007273,170.35483871,0.701141795111691,45.12805627341438,7118.2872859,555.5
