시군구명,행정동명,위도,경도,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,2021혼인,어린이보호구역현황,2021_한부모_가구수,2021_저소득_가구수,2021_예산현액,2021_세입,2021_세출,총_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,어린이집_수,2020GDP1인당,공동육아나눔터유무,유아인구,인구대비아동,20-40직장인구,20-40직장인구비,인구대비예산,20-40생활인구,한부모저소득평균
강서구,화곡8동,37.5326541,126.848335,27548.2816,883.6639247,400.0977658,1127.156154,1280.56765,1158.695474,1062.01454,894.5900742,411.0279835,1334.949981,1184.134732,1267.779537,1167.243351,84,1,355,1815,1392518,1406901,1238592,251.0080645,31.38709677,56.87096774,64.55645161,17,29043,1,2589.379748,0.093994238,152.8145161,0.608803213,50.54827086,9582.541419,1085
강서구,가양1동,37.5695239,126.8447099,49308.71688,1357.113913,579.4011397,3100.326195,3362.316853,2757.398075,2668.679112,1245.972977,514.9244402,3359.554523,3000.53401,2759.494129,1950.290045,232,3,355,1815,1392518,1406901,1238592,617.6129032,45.87096774,107.7096774,148.8709677,22,29043,0,3697.41247,0.074984966,302.4516128,0.489710644,28.24080788,22958.59294,1085
강서구,가양2동,37.5673763,126.8512826,14897.99693,241.6772292,112.2367861,605.687758,720.4232692,530.5547826,516.2305315,321.9513921,115.9408061,583.1403232,739.0845775,689.2106848,462.3639349,67,3,355,1815,1392518,1406901,1238592,741.477483,133.0144371,179.3403143,177.7909515,5,29043,0,791.8062135,0.053148502,490.1457029,0.661039228,93.47014948,4846.695862,1085
강서구,가양3동,37.561092,126.8605955,10778.60057,296.7915382,93.75492606,544.695117,625.6451004,533.8420904,488.1167844,152.3276933,50.57528408,432.5549365,622.5154887,618.8987394,393.3118815,139,2,355,1815,1392518,1406901,1238592,548.537174,76.8549625,157.6874642,146.4563211,11,29043,0,593.4494416,0.055058116,380.9987478,0.694572339,129.1928382,4259.580138,1085
강서구,발산1동,37.5531209,126.8331686,35529.97073,2083.572491,1116.86169,915.0376118,1250.898195,1369.055541,1601.929728,1990.284504,1111.214127,1107.753783,995.4975989,1452.711103,1605.069761,92,6,355,1815,1392518,1406901,1238592,287.3870968,33,54.80645161,86.90322581,23,29043,0,6301.932812,0.177369491,174.7096774,0.607924571,39.19277082,10297.95332,1085
강서구,공항동,37.5588296,126.8101437,35999.49552,2325.364441,677.0822289,1599.909951,1854.035547,1825.214349,1722.002765,1978.567732,531.3074664,1411.86639,1537.769181,1727.456094,1429.904949,138,5,355,1815,1392518,1406901,1238592,502.8193548,54.6516129,118.4516129,151.0967742,22,29043,0,5512.321868,0.153122198,324.2,0.644764361,38.68159761,13108.15923,1085
강서구,방화1동,37.5703659,126.817026,33097.9282,2001.911269,802.3788918,1106.482675,1569.300293,1481.33369,1478.700018,1776.886689,738.0200883,1070.634625,1245.585404,1681.276777,1374.443697,150,2,355,1815,1392518,1406901,1238592,335.6193548,35.87096774,63.83870968,75.27096774,31,29043,0,5319.196938,0.160710873,174.9806452,0.521366371,42.07266363,11007.75718,1085
강서구,방화2동,37.5666997,126.8067549,24657.40702,738.6415297,370.731397,1110.2861,1296.157544,1023.982436,1088.764865,688.5311594,320.3781863,975.4766967,1061.642195,1052.674087,792.814834,104,2,355,1815,1392518,1406901,1238592,394.75,36.09375,77.53125,88.29166667,8,29043,0,2118.282272,0.085908558,201.9166667,0.511505172,56.47463251,8401.798758,1085
강서구,방화3동,37.5787386,126.8135628,17167.98826,708.2768032,348.618041,621.3765852,893.5429156,719.7379148,737.7027687,555.7924372,263.3026655,489.308249,651.6731411,821.9942693,672.9840075,98,5,355,1815,1392518,1406901,1238592,923.3047257,148.8800555,234.7965631,230.3192484,11,29043,0,1875.989947,0.109272555,613.995867,0.664998077,81.11130896,5608.319851,1085
강서구,화곡1동,37.530408,126.841562,47821.67618,1605.570784,574.4295466,2376.359801,2369.471529,1960.764382,1797.359218,1528.589749,526.4862943,2530.882458,2451.850738,2247.163277,1822.66461,476,5,355,1815,1392518,1406901,1238592,198.7225806,18.2483871,39.62903226,52.22258065,16,29043,0,4235.076374,0.088559764,110.1,0.554038699,29.11897096,17556.51601,1085
강서구,우장산동,37.5482468,126.8418849,33159.65256,1644.918129,959.1918653,1049.8526,1295.892361,1383.453539,1493.294382,1279.443706,823.4659268,1366.922562,1208.628743,1388.158154,1534.410454,101,3,355,1815,1392518,1406901,1238592,435.6532258,74.82258065,93.91935484,107.1451613,20,29043,0,4707.019627,0.141950209,275.8870968,0.633272246,41.99434833,10720.6128,1085
구로구,신도림동,37.5077664,126.8805826,33371.8134,1608.016666,728.4762651,1221.112553,1646.558212,1514.403138,1473.543907,1815.622197,766.075621,1218.632978,1429.701004,1834.446615,1691.146638,168,4,226,1072,1111703,1144232,930281,1399.27957,247.9354839,425.0107527,376.0215054,24,32587,0,4918.190749,0.147375592,1048.967742,0.749648437,33.31263383,12029.54505,649
구로구,구로3동,37.4873799,126.8903678,40645.08994,569.7880865,235.2950408,2755.066315,2977.786641,2598.90765,2724.229679,731.238341,300.8740739,2720.965328,2318.202049,2075.162176,1602.882066,122,0,226,1072,1111703,1144232,930281,16059.83871,3508.112903,5904.362903,3891.75,21,32587,0,1837.195542,0.045200922,13304.22581,0.828415904,27.35147103,19773.2019,649
구로구,오류2동,37.4888016,126.8395371,51827.41534,3206.483254,1263.808056,1621.646802,2293.090811,2175.727185,2203.688404,3322.642194,1309.699519,1566.797905,1881.536848,2599.722449,2243.932046,115,0,226,1072,1111703,1144232,930281,315.2580645,59.16129032,99.06451613,73.35483871,30,32587,0,9102.633023,0.175633552,231.5806452,0.734574849,21.45009533,16586.14245,649
금천구,가산동,37.4769094,126.8917326,58976.73459,620.584959,213.1576157,4676.007262,4879.873942,3974.115138,4026.183768,446.4308871,201.742935,4428.921117,3322.236862,2720.1572,2045.745286,167,4,188,919,773456,821254,655249,14631.07834,3390.470046,4660.064516,3434.723502,9,69304,0,1481.916397,0.025127135,11485.25806,0.784990538,13.11459519,30073.24058,553.5
영등포구,여의동,37.5177232,126.934584,89003.62511,1626.37307,785.2512242,5424.393787,6604.771914,6131.043766,6057.973068,2001.126772,902.1358493,5029.302789,4785.006533,5280.056328,3861.67976,108,5,113,529,1002783,1060180,861532,25606.96129,4255.851613,8330.258065,7452.664516,27,101354,0,5314.886916,0.059715398,20038.77419,0.782551821,11.26676581,43174.22795,321
영등포구,당산2동,37.5310483,126.8973273,37245.43359,1405.797863,515.6431326,1989.107231,1944.073115,1568.983288,1523.520006,1375.160304,523.5434952,2437.808793,2351.231504,1995.205211,1401.080675,187,5,113,529,1002783,1060180,861532,2660.895161,438.5887097,507.516129,548.3225806,19,101354,0,3820.144795,0.102566796,1494.427419,0.561625817,26.92364951,15211.00982,321
영등포구,영등포동,37.5203985,126.9106918,50610.1291,1045.399927,410.7581091,3196.50843,3052.389939,2220.799158,2222.163892,1447.151244,446.8046876,3694.661803,3119.071322,2689.159666,1897.063458,252,5,113,529,1002783,1060180,861532,1219.479798,202.1313131,333.1666667,286.1767677,9,101354,0,3350.113968,0.066194535,821.4747475,0.673627188,19.81387951,22091.81767,321
영등포구,문래동,37.517086,126.899466,39607.27439,1585.959017,697.3271427,1631.873049,2157.357819,2056.421767,1982.150063,1433.194332,624.189099,1623.175809,1897.481465,2216.562276,1986.476054,198,5,113,529,1002783,1060180,861532,1143.411429,176.3485714,274.4,304.68,27,101354,0,4340.669591,0.109592737,755.4285714,0.66067957,25.31815217,15551.4983,321
동작구,상도1동,37.4981,126.953089,45465.28592,1683.879791,739.9782933,1443.166781,1578.067347,1500.297616,1487.205847,1689.711582,686.8104135,1931.791199,1480.136785,1721.448286,1581.560659,164,7,104,720,1102876,1127620,810242,433.3309353,62.15107914,110.2805755,114.7410072,15,16559,0,4800.38008,0.105583413,287.1726618,0.66270981,24.25754018,12723.67452,412
동작구,대방동,37.508133,126.92635,42456.00768,1110.760332,853.8399052,1618.866713,1625.827861,1562.137086,1775.111373,1272.624536,976.7480197,1864.17417,1617.662854,1718.975493,1683.647479,139,8,104,720,1102876,1127620,810242,3508.464516,610.5419355,655.9741935,653.4193548,14,16559,0,4213.972793,0.099255041,1919.935484,0.547229557,25.97691258,13466.40303,412
동작구,노량진1동,37.512308,126.942013,37045.22898,933.6395917,410.708768,2357.371892,1823.43687,1283.271691,1284.476779,719.0222723,332.9870544,2309.234815,1480.571254,1409.841034,1083.577505,127,5,104,720,1102876,1127620,810242,609.7664671,65.56287425,159.1017964,163.8383234,15,16559,0,2396.357686,0.06468735,388.5029941,0.637134075,29.77106716,13031.78184,412
