시군구명,행정동명,인구지수,예산복지지수,공동육아나눔터유무
종로구,사직동,10613.930349355263,882439.6299999999,0
종로구,삼청동,2075.5383899196468,882439.6299999999,0
종로구,부암동,6224.970589110509,882439.6299999999,0
종로구,평창동,7591.58259764706,882439.6299999999,0
종로구,무악동,2795.206490996426,882439.6299999999,0
종로구,교남동,3149.03923201463,882439.6299999999,0
종로구,가회동,3387.994362634844,882439.6299999999,0
종로구,종로1.2.3.4가동,23689.928697064333,882439.6299999999,0
종로구,종로5.6가동,6459.319082632382,882439.6299999999,0
종로구,이화동,9340.191967902085,882439.6299999999,0
종로구,창신1동,3195.608885260029,882439.6299999999,1
종로구,창신2동,3529.796537582134,882439.6299999999,0
종로구,창신3동,2120.0881366193944,882439.6299999999,0
종로구,숭인1동,3133.973438690534,882439.6299999999,0
종로구,숭인2동,4925.549050972155,882439.6299999999,0
종로구,청운효자동,7747.174819746356,882439.6299999999,0
종로구,혜화동,11678.26558407515,882439.6299999999,0
중구,소공동,17913.405616806078,855161.63,0
중구,회현동,10009.862654062043,855161.63,0
중구,명동,15291.318175999631,855161.63,0
중구,필동,5771.185728974326,855161.63,0
중구,장충동,4578.5800179952785,855161.63,0
중구,광희동,8856.162232633176,855161.63,0
중구,을지로동,7209.544898953822,855161.63,0
중구,신당5동,4187.2289967022025,855161.63,0
중구,황학동,5645.28328744774,855161.63,0
중구,중림동,4101.562846373034,855161.63,0
중구,신당동,9096.325287750285,855161.63,1
중구,다산동,6217.431020724955,855161.63,0
중구,약수동,6262.514153750469,855161.63,0
중구,청구동,5352.229647142492,855161.63,0
중구,동화동,3800.470287758354,855161.63,0
용산구,후암동,5719.8434678005815,924829.58,0
용산구,용산2가동,5318.368866295037,924829.58,0
용산구,남영동,6913.007394409475,924829.58,0
용산구,원효로2동,6491.281617376738,924829.58,0
용산구,효창동,4322.144358519979,924829.58,0
용산구,용문동,3562.3974596498174,924829.58,0
용산구,이촌1동,11683.014700307745,924829.58,0
용산구,이촌2동,2965.5946853807645,924829.58,0
용산구,이태원1동,5106.764792915232,924829.58,0
용산구,이태원2동,4615.303466986067,924829.58,0
용산구,서빙고동,6544.7439056671465,924829.58,0
용산구,보광동,4445.648315881418,924829.58,0
용산구,청파동,9050.335889695023,924829.58,0
용산구,원효로1동,9353.831423845726,924829.58,0
용산구,한강로동,19813.018183270244,924829.58,0
용산구,한남동,13569.889943161128,924829.58,0
성동구,왕십리2동,6214.573840689515,1174957.25,0
성동구,마장동,8901.290196452672,1174957.25,0
성동구,사근동,8993.78980236321,1174957.25,0
성동구,행당1동,7957.491618472497,1174957.25,0
성동구,행당2동,9174.827453826216,1174957.25,0
성동구,응봉동,4868.5430852424115,1174957.25,0
성동구,금호1가동,6889.353572884735,1174957.25,1
성동구,금호4가동,5704.712442136264,1174957.25,0
성동구,성수1가1동,8149.9541836903545,1174957.25,0
성동구,성수1가2동,8768.466598897667,1174957.25,0
성동구,성수2가1동,8247.411977999853,1174957.25,0
성동구,성수2가3동,13808.737832178778,1174957.25,0
성동구,송정동,4371.601624907946,1174957.25,0
성동구,용답동,7987.532871476409,1174957.25,0
성동구,왕십리도선동,13259.232932461968,1174957.25,0
성동구,금호2.3가동,8861.928613621538,1174957.25,0
성동구,옥수동,12559.84344819994,1174957.25,0
광진구,화양동,14834.720978803036,1159712.09,0
광진구,군자동,7603.191936132595,1159712.09,0
광진구,중곡1동,6317.166876412273,1159712.09,0
광진구,중곡2동,8058.753342526517,1159712.09,0
광진구,중곡3동,6311.217480362696,1159712.09,0
광진구,중곡4동,10409.382872845776,1159712.09,0
광진구,능동,6931.032421554309,1159712.09,0
광진구,구의1동,11018.12698766631,1159712.09,0
광진구,구의2동,9019.914570265042,1159712.09,0
광진구,구의3동,13007.997156444053,1159712.09,0
광진구,광장동,16970.781118011644,1159712.09,0
광진구,자양1동,10115.229939647925,1159712.09,0
광진구,자양2동,9112.6138296572,1159712.09,0
광진구,자양3동,10172.741374947753,1159712.09,0
광진구,자양4동,9999.58129476608,1159712.09,0
동대문구,회기동,7552.599414814096,1364554.8199999998,0
동대문구,휘경1동,6336.008447257208,1364554.8199999998,0
동대문구,휘경2동,8282.266742943859,1364554.8199999998,0
동대문구,청량리동,7221.97238381297,1364554.8199999998,0
동대문구,용신동,15999.268984241262,1364554.8199999998,1
동대문구,제기동,12443.346819524511,1364554.8199999998,1
동대문구,전농1동,13015.017312272088,1364554.8199999998,0
동대문구,전농2동,7267.565795445038,1364554.8199999998,0
동대문구,답십리2동,9055.926552752318,1364554.8199999998,0
동대문구,장안1동,14571.918292897059,1364554.8199999998,0
동대문구,장안2동,12239.622747301046,1364554.8199999998,0
동대문구,이문1동,9050.70167369433,1364554.8199999998,0
동대문구,이문2동,6482.55516164775,1364554.8199999998,0
동대문구,답십리1동,10353.147537210683,1364554.8199999998,0
중랑구,면목2동,8379.126536804253,1508492.86,0
중랑구,면목4동,7539.460181440199,1508492.86,0
중랑구,면목5동,5189.511396436212,1508492.86,0
중랑구,면목7동,7824.9767371536855,1508492.86,0
중랑구,상봉1동,7675.797495341826,1508492.86,0
중랑구,상봉2동,10454.277621296613,1508492.86,0
중랑구,중화1동,7277.557872928751,1508492.86,0
중랑구,중화2동,9844.664614829215,1508492.86,0
중랑구,묵1동,11146.982707694206,1508492.86,0
중랑구,묵2동,7737.579002750644,1508492.86,0
중랑구,망우3동,4937.330679300825,1508492.86,0
중랑구,신내1동,15470.459511128174,1508492.86,0
중랑구,신내2동,7482.886435000245,1508492.86,0
