통계청행정동코드,행자부행정동코드,시군구명,행정동명,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,2021혼인,어린이보호구역현황,2021_한부모_가구수,2021_저소득_가구수,2021_예산현액,2021_세입,2021_세출,총_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,어린이집_수,2020GDP1인당,공동육아나눔터유무
1101067,11110670,종로구,창신1동,8542.106721,74.78077485,51.95310217,298.8362188,400.5866738,347.2239546,388.2546962,66.12768014,32.46263248,309.1078998,286.2376282,340.3266537,314.6246808,20,0,96,214,662770,695108,540729,464.1891892,71.01351351,116.1486486,123.1486486,2,223603,1
1101068,11110680,종로구,창신2동,9581.10499,151.6812802,102.7518665,251.7026952,325.774118,259.354967,388.98693,127.1359987,94.96904203,311.5719765,286.9303983,334.1441217,223.2930549,21,0,96,214,662770,695108,540729,102.1764706,8.558823529,24.30147059,21.60294118,2,223603,0
1101069,11110690,종로구,창신3동,4927.821309,143.2344607,74.70672423,138.1994324,201.3346783,182.8472519,206.6003549,197.6376188,128.5523186,169.9840777,158.1683053,195.0997127,205.9551569,30,0,96,214,662770,695108,540729,548.537174,76.8549625,157.6874642,146.4563211,3,223603,0
1101070,11110700,종로구,숭인1동,7855.433461,212.961894,100.9298088,258.4826255,345.7565746,265.7155165,379.7099133,170.6603384,87.14585387,315.2621396,288.3226684,311.7610615,303.5820866,18,0,96,214,662770,695108,540729,174.6451613,27.77419355,39.12903226,48.90322581,2,223603,0
1101071,11110710,종로구,숭인2동,12959.74457,168.0768544,84.03842858,525.9583699,546.6840834,500.0114372,582.4366643,161.190995,67.01185932,713.1297188,525.3814894,516.614781,417.334922,38,0,96,214,662770,695108,540729,394.225,61.25625,87.33125,97.6375,2,223603,0
1101072,11110515,종로구,청운효자동,18222.83161,667.6307306,425.4159195,621.2056491,666.9609169,690.2573515,805.8847178,644.3537302,386.0786785,709.164549,652.411072,773.640793,758.9075844,31,7,96,214,662770,695108,540729,253.1395349,40,63.48837209,68.20930233,3,223603,0
1101073,11110650,종로구,혜화동,30298.19989,571.1775766,434.2498983,969.3876398,785.3216373,779.7264658,1016.57902,629.5959353,410.8507734,1740.669971,946.4140298,945.3482899,912.7729475,46,5,96,214,662770,695108,540729,1030.070968,212.3612903,323.4064516,261.0387097,4,223603,0
1102052,11140520,중구,소공동,26848.74901,602.3275007,87.61127363,1539.399383,1977.869432,1790.507958,2058.466149,406.549119,198.6548406,1607.989549,1592.989494,1545.191958,1312.173245,11,4,72,263,653442,647475,536751,52168.4,11179.50323,17860.14839,14011.36129,1,443361,0
1102054,11140540,중구,회현동,24382.1036,166.1860076,69.59912562,1203.514136,1614.048466,1472.086714,1617.063594,216.8159214,77.05038052,1278.676989,1274.109414,1392.382763,1106.076786,15,2,72,263,653442,647475,536751,3306.107527,654.2580645,1140.419355,811.1935484,2,443361,0
1102055,11140550,중구,명동,33388.19581,289.4901171,88.4552382,2029.582674,2565.675319,2364.532913,2359.67225,282.7859949,108.7638442,2279.834953,2113.125514,1978.984796,1533.137919,6,2,72,263,653442,647475,536751,13500.88387,2445.232258,4671.025806,3798.070968,9,443361,0
1102057,11140570,중구,필동,12068.07197,186.5651515,62.18838469,515.1969006,590.9808621,602.7416917,685.8839495,114.2175877,53.87622202,582.0456267,525.9281596,453.4360133,337.9464206,17,3,72,263,653442,647475,536751,9740.564516,1638.870968,2754.274194,2938.645161,2,443361,0
1102058,11140580,중구,장충동,11343.88645,98.76352829,56.91470866,503.0256385,646.5747501,526.2339069,557.7307087,106.6286082,62.03846286,652.8187012,560.3049721,582.3240498,452.3717302,21,3,72,263,653442,647475,536751,1717.103226,409.6258065,471.9741935,429.2903226,2,443361,0
1102059,11140590,중구,광희동,21672.30343,203.1447615,98.14847467,1075.157812,1297.517495,1100.172759,1242.562212,162.8999285,90.07411036,1341.876902,1201.292225,1115.766244,881.1845868,35,0,72,263,653442,647475,536751,3403.269461,690.1916168,994.2874251,823.245509,2,443361,0
1102060,11140605,중구,을지로동,17291.48117,88.56232132,36.08087863,854.2652484,1038.957124,1004.812595,1225.047461,83.83476086,36.44989673,918.6802651,794.9464557,676.1552798,641.1240359,12,0,72,263,653442,647475,536751,5354.927419,772.233871,1487.024194,1448.766129,6,443361,0
1102065,11140650,중구,신당5동,10275.31758,269.6376161,124.7184798,369.4067598,464.1417061,384.807679,444.9033371,268.2437006,105.2092852,461.7922731,443.5575767,461.6005708,404.5934234,45,3,72,263,653442,647475,536751,547.8817204,80.94623656,134.7204301,138.2043011,4,443361,0
1102067,11140670,중구,황학동,13366.88281,382.5597113,100.9264569,618.1260162,761.5314895,623.3723351,502.1955711,468.0361908,120.8908467,714.9781107,702.392632,828.4976791,563.9860357,80,1,72,263,653442,647475,536751,573.7526882,104.6451613,141.516129,126.4193548,3,443361,0
1102068,11140680,중구,중림동,9369.770522,254.1874348,86.72911673,395.8570314,584.4443698,509.5030065,542.968603,217.14099,84.30171681,410.8699701,500.9891719,525.5416053,452.9847987,70,2,72,263,653442,647475,536751,1632.709677,264.3870968,540.7741935,406.2258065,4,443361,0
1102069,11140615,중구,신당동,22978.18077,159.0899182,115.9260211,1228.337259,1461.509254,1147.924824,1113.12267,266.2052266,114.6946902,1125.168592,1157.24868,1347.543218,1128.031927,51,2,72,263,653442,647475,536751,734.5505051,176.9090909,220.3686869,169.9646465,2,443361,1
1102070,11140625,중구,다산동,14731.10664,378.7434011,209.2285367,558.1077829,718.4020175,598.9633642,611.721933,445.4439242,214.0888347,711.5520924,649.4951535,716.7472821,562.5373497,63,4,72,263,653442,647475,536751,1355.838095,440.9238095,454.9238095,262.047619,3,443361,0
1102071,11140635,중구,약수동,14912.91462,601.5434176,217.6524212,445.0662231,644.9317514,637.3402956,591.3940392,466.9602769,178.9901638,505.4210776,588.1286046,820.4013337,581.7878802,65,6,72,263,653442,647475,536751,718.6181818,118.6727273,173.7818182,173.4181818,5,443361,0
1102072,11140645,중구,청구동,12300.21883,558.6684588,266.1377855,405.6898134,539.3575032,425.2974118,483.8029119,417.7684235,212.0554983,451.0481435,542.128799,584.933039,470.0370982,76,4,72,263,653442,647475,536751,1129.129032,197.8064516,268.0967742,238.3548387,2,443361,0
1102073,11140665,중구,동화동,9208.099528,307.8495019,150.442019,306.9706177,362.6581794,358.8686757,397.4204906,207.5378032,121.572598,333.158509,339.0423746,450.4329933,343.7637855,23,2,72,263,653442,647475,536751,626.2741935,153.9677419,170.1935484,142.1935484,4,443361,0
